station	replica	date	time	depth	mesh_size	type	med_size	n
RN2	1	3/18/2021	10:26:00 AM	0	330	0	125	0
RN2	1	3/18/2021	10:26:00 AM	0	330	0	225	0
RN2	1	3/18/2021	10:26:00 AM	0	330	0	375	1
RN2	1	3/18/2021	10:26:00 AM	0	330	0	750	5
RN2	1	3/18/2021	10:26:00 AM	0	330	0	1250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	0	1750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	0	2250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	0	2750	2
RN2	1	3/18/2021	10:26:00 AM	0	330	0	3250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	0	3750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	0	4250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	0	4750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	0	17500	1
RN2	1	3/18/2021	10:26:00 AM	0	330	1	125	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	225	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	375	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	1250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	1750	1
RN2	1	3/18/2021	10:26:00 AM	0	330	1	2250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	2750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	3250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	3750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	4250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	4750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	1	17500	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	125	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	225	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	375	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	1250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	1750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	2250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	2750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	3250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	3750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	4250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	4750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	2	17500	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	125	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	225	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	375	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	1250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	1750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	2250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	2750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	3250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	3750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	4250	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	4750	0
RN2	1	3/18/2021	10:26:00 AM	0	330	3	17500	0
RN2	1	9/23/2020	11:50:00 AM	1	250	0	125	0
RN2	1	9/23/2020	11:50:00 AM	1	250	0	225	1
RN2	1	9/23/2020	11:50:00 AM	1	250	0	375	69
RN2	1	9/23/2020	11:50:00 AM	1	250	0	750	156
RN2	1	9/23/2020	11:50:00 AM	1	250	0	1250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	0	1750	73
RN2	1	9/23/2020	11:50:00 AM	1	250	0	2250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	0	2750	21
RN2	1	9/23/2020	11:50:00 AM	1	250	0	3250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	0	3750	2
RN2	1	9/23/2020	11:50:00 AM	1	250	0	4250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	0	4750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	0	17500	6
RN2	1	9/23/2020	11:50:00 AM	1	250	1	125	41
RN2	1	9/23/2020	11:50:00 AM	1	250	1	225	0
RN2	1	9/23/2020	11:50:00 AM	1	250	1	375	2
RN2	1	9/23/2020	11:50:00 AM	1	250	1	750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	1	1250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	1	1750	1
RN2	1	9/23/2020	11:50:00 AM	1	250	1	2250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	1	2750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	1	3250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	1	3750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	1	4250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	1	4750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	1	17500	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	125	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	225	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	375	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	1250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	1750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	2250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	2750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	3250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	3750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	4250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	4750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	2	17500	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	125	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	225	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	375	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	1250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	1750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	2250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	2750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	3250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	3750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	4250	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	4750	0
RN2	1	9/23/2020	11:50:00 AM	1	250	3	17500	0
RN2	2	9/23/2020	11:50:00 AM	1	250	0	125	0
RN2	2	9/23/2020	11:50:00 AM	1	250	0	225	0
RN2	2	9/23/2020	11:50:00 AM	1	250	0	375	2
RN2	2	9/23/2020	11:50:00 AM	1	250	0	750	10
RN2	2	9/23/2020	11:50:00 AM	1	250	0	1250	7
RN2	2	9/23/2020	11:50:00 AM	1	250	0	1750	322
RN2	2	9/23/2020	11:50:00 AM	1	250	0	2250	36
RN2	2	9/23/2020	11:50:00 AM	1	250	0	2750	7
RN2	2	9/23/2020	11:50:00 AM	1	250	0	3250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	0	3750	1
RN2	2	9/23/2020	11:50:00 AM	1	250	0	4250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	0	4750	3
RN2	2	9/23/2020	11:50:00 AM	1	250	0	17500	0
RN2	2	9/23/2020	11:50:00 AM	1	250	1	125	45
RN2	2	9/23/2020	11:50:00 AM	1	250	1	225	111
RN2	2	9/23/2020	11:50:00 AM	1	250	1	375	3
RN2	2	9/23/2020	11:50:00 AM	1	250	1	750	5
RN2	2	9/23/2020	11:50:00 AM	1	250	1	1250	4
RN2	2	9/23/2020	11:50:00 AM	1	250	1	1750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	1	2250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	1	2750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	1	3250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	1	3750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	1	4250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	1	4750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	1	17500	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	125	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	225	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	375	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	1250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	1750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	2250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	2750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	3250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	3750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	4250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	4750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	2	17500	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	125	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	225	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	375	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	1250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	1750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	2250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	2750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	3250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	3750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	4250	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	4750	0
RN2	2	9/23/2020	11:50:00 AM	1	250	3	17500	0
RN2	3	9/23/2020	11:50:00 AM	1	250	0	125	0
RN2	3	9/23/2020	11:50:00 AM	1	250	0	225	9
RN2	3	9/23/2020	11:50:00 AM	1	250	0	375	23
RN2	3	9/23/2020	11:50:00 AM	1	250	0	750	28
RN2	3	9/23/2020	11:50:00 AM	1	250	0	1250	0
RN2	3	9/23/2020	11:50:00 AM	1	250	0	1750	32
RN2	3	9/23/2020	11:50:00 AM	1	250	0	2250	0
RN2	3	9/23/2020	11:50:00 AM	1	250	0	2750	12
RN2	3	9/23/2020	11:50:00 AM	1	250	0	3250	0
