    C0mS/cm     Tv290C Sbeox0ML/L Sbox0Mm/Kg        Par    WetStar      DepSM      Sal00       Flag
  46.520515    15.2646     5.1027    221.617 1.8611e+01     0.4718     56.292    38.0275 0.0000e+00
  46.500498    15.2349     5.0981    221.419 1.8267e+01     0.5276     56.539    38.0378 0.0000e+00
  46.483874    15.2129     5.0966    221.353 1.7974e+01     0.5595     56.788    38.0439 0.0000e+00
  46.465289    15.1962     5.0909    221.103 1.7791e+01     0.5611     57.036    38.0430 0.0000e+00
  46.438778    15.1786     5.0803    220.634 1.7462e+01     0.6083     57.284    38.0356 0.0000e+00
  46.407340    15.1551     5.0696    220.168 1.7057e+01     0.5442     57.532    38.0294 0.0000e+00
  46.375058    15.1272     5.0570    219.619 1.6637e+01     0.5954     57.780    38.0268 0.0000e+00
  46.343432    15.0942     5.0426    218.994 1.6588e+01     0.5796     58.027    38.0296 0.0000e+00
  46.318704    15.0589     5.0233    218.158 1.5838e+01     0.5696     58.275    38.0412 0.0000e+00
  46.304351    15.0306     5.0084    217.506 1.5541e+01     0.5689     58.523    38.0554 0.0000e+00
  46.292889    15.0128     4.9996    217.123 1.5261e+01     0.5654     58.772    38.0621 0.0000e+00
  46.280679    15.0003     4.9839    216.439 1.5015e+01     0.5723     59.020    38.0629 0.0000e+00
  46.267640    14.9886     4.9418    214.607 1.4739e+01     0.6579     59.267    38.0623 0.0000e+00
  46.254600    14.9749     4.8741    211.668 1.4255e+01     0.5526     59.515    38.0635 0.0000e+00
  46.240748    14.9574     4.8069    208.754 1.3834e+01     0.6088     59.763    38.0676 0.0000e+00
  46.238975    14.9438     4.7830    207.717 1.3738e+01     0.6011     60.011    38.0792 0.0000e+00
