       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     20.100 -9.990e-29 -9.990e-29 -9.990e-29
     20.333  44.595496     0.3502    13.3477     5.1746     20.200    28.7490    38.1310 0.0000e+00
     20.463  44.595538     0.3838    13.3476     5.1730     20.300    28.7491    38.1310 0.0000e+00
     20.564  44.595915     0.3313    13.3478     5.1669     20.400    28.7492    38.1312 0.0000e+00
     20.665  44.596354     0.3447    13.3480     5.1670     20.500    28.7493    38.1313 0.0000e+00
     20.766  44.596781     0.3429    13.3483     5.1664     20.600    28.7493    38.1314 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     20.700 -9.990e-29 -9.990e-29 -9.990e-29
     20.933  44.597477     0.3491    13.3488     5.1680     20.800    28.7492    38.1315 0.0000e+00
     21.068  44.598021     0.3479    13.3491     5.1718     20.900    28.7493    38.1316 0.0000e+00
     21.169  44.598258     0.3413    13.3492     5.1719     21.000    28.7494    38.1318 0.0000e+00
     21.270  44.598276     0.3596    13.3492     5.1745     21.100    28.7493    38.1317 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     21.200 -9.990e-29 -9.990e-29 -9.990e-29
     21.435  44.598052     0.3878    13.3491     5.1775     21.300    28.7492    38.1315 0.0000e+00
     21.572  44.597929     0.3632    13.3490     5.1786     21.400    28.7492    38.1314 0.0000e+00
     21.673  44.597912     0.3897    13.3489     5.1729     21.500    28.7492    38.1315 0.0000e+00
     21.774  44.597879     0.3622    13.3489     5.1720     21.600    28.7492    38.1314 0.0000e+00
     21.875  44.597904     0.3562    13.3490     5.1712     21.700    28.7491    38.1313 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29     21.800 -9.990e-29 -9.990e-29 -9.990e-29
