       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     11.798  44.350140     0.4631    13.1633     5.3395     11.704    28.7512    38.0843 0.0000e+00
     11.901  44.350061     0.4797    13.1631     5.3409     11.806    28.7513    38.0844 0.0000e+00
     11.992  44.350043     0.4830    13.1630     5.3400     11.897    28.7514    38.0844 0.0000e+00
     12.074  44.350078     0.4996    13.1630     5.3379     11.978    28.7514    38.0844 0.0000e+00
     12.154  44.350173     0.4863    13.1631     5.3382     12.057    28.7513    38.0844 0.0000e+00
     12.238  44.350348     0.4940    13.1632     5.3338     12.141    28.7513    38.0844 0.0000e+00
     12.329  44.350620     0.4940    13.1633     5.3323     12.231    28.7514    38.0845 0.0000e+00
     12.429  44.350916     0.5040    13.1634     5.3329     12.330    28.7515    38.0847 0.0000e+00
     12.533  44.351089     0.5040    13.1635     5.3304     12.433    28.7515    38.0847 0.0000e+00
     12.639  44.351153     0.5294    13.1636     5.3332     12.538    28.7514    38.0846 0.0000e+00
     12.742  44.351218     0.5394    13.1636     5.3352     12.641    28.7514    38.0846 0.0000e+00
     12.840  44.351316     0.5582    13.1636     5.3314     12.738    28.7515    38.0847 0.0000e+00
     12.933  44.351436     0.5416    13.1637     5.3343     12.830    28.7514    38.0846 0.0000e+00
     13.024  44.351606     0.5704    13.1639     5.3328     12.920    28.7513    38.0846 0.0000e+00
     13.119  44.351878     0.5604    13.1640     5.3311     13.014    28.7514    38.0847 0.0000e+00
     13.220  44.352217     0.5637    13.1642     5.3326     13.115    28.7514    38.0848 0.0000e+00
     13.333  44.352490     0.5682    13.1643     5.3291     13.227    28.7515    38.0849 0.0000e+00
     13.456  44.352614     0.5648    13.1643     5.3312     13.349    28.7516    38.0849 0.0000e+00
     13.587  44.352538     0.5726    13.1642     5.3240     13.479    28.7515    38.0849 0.0000e+00
     13.721  44.352354     0.5892    13.1641     5.3233     13.612    28.7515    38.0848 0.0000e+00
     13.853  44.352248     0.6091    13.1640     5.3216     13.743    28.7514    38.0847 0.0000e+00
     13.979  44.352277     0.6124    13.1639     5.3205     13.868    28.7515    38.0848 0.0000e+00
     14.099  44.352397     0.6058    13.1639     5.3260     13.987    28.7516    38.0848 0.0000e+00
     14.212  44.352599     0.6323    13.1640     5.3296     14.099    28.7516    38.0849 0.0000e+00
     14.320  44.352913     0.6179    13.1642     5.3358     14.206    28.7516    38.0849 0.0000e+00
     14.427  44.353290     0.6401    13.1644     5.3366     14.312    28.7516    38.0850 0.0000e+00
     14.532  44.353704     0.6379    13.1647     5.3382     14.416    28.7516    38.0851 0.0000e+00
     14.636  44.354167     0.6345    13.1649     5.3357     14.519    28.7517    38.0853 0.0000e+00
     14.739  44.354619     0.6434    13.1652     5.3368     14.622    28.7517    38.0854 0.0000e+00
     14.841  44.354991     0.6710    13.1654     5.3400     14.723    28.7518    38.0855 0.0000e+00
     14.940  44.355283     0.6722    13.1656     5.3357     14.821    28.7518    38.0855 0.0000e+00
     15.038  44.355529     0.6677    13.1657     5.3319     14.918    28.7518    38.0856 0.0000e+00
     15.135  44.355808     0.7098    13.1659     5.3302     15.014    28.7518    38.0856 0.0000e+00
